

times in msec
 clock   self+sourced   self:  sourced script
 clock   elapsed:              other lines
064.095  000.074  000.074: require('nvim-ts-autotag._log')
064.099  000.169  000.094: require('nvim-ts-autotag.utils')
064.105  000.436  000.267: require('nvim-ts-autotag.internal')
064.107  000.531  000.095: require('nvim-ts-autotag')
064.147  000.579  000.048: sourcing /home/j0rdi/.local/share/nvim/site/pack/packer/start/nvim-ts-autotag/plugin/nvim-ts-autotag.vim
064.318  000.089  000.089: require('ts_context_commentstring')
064.338  000.119  000.029: sourcing /home/j0rdi/.local/share/nvim/site/pack/packer/start/nvim-ts-context-commentstring/plugin/ts_context_commentstring.vim
064.434  000.029  000.029: sourcing /home/j0rdi/.local/share/nvim/site/pack/packer/start/nvim-web-devicons/plugin/nvim-web-devicons.vim
064.571  000.046  000.046: sourcing /home/j0rdi/.local/share/nvim/site/pack/packer/start/plenary.nvim/plugin/plenary.vim
064.893  000.221  000.221: sourcing /home/j0rdi/.local/share/nvim/site/pack/packer/start/telescope.nvim/plugin/telescope.lua
065.019  000.045  000.045: sourcing /home/j0rdi/.local/share/nvim/site/pack/packer/start/vim-bbye/plugin/bbye.vim
065.716  000.632  000.632: sourcing /home/j0rdi/.local/share/nvim/site/pack/packer/start/vim-fugitive/plugin/fugitive.vim
066.345  000.112  000.112: require('illuminate.util')
066.490  000.143  000.143: require('illuminate.config')
066.621  000.129  000.129: require('illuminate.reference')
066.625  000.512  000.128: require('illuminate.highlight')
066.630  000.738  000.226: require('illuminate.engine')
066.901  000.252  000.252: require('illuminate')
066.967  001.165  000.175: sourcing /home/j0rdi/.local/share/nvim/site/pack/packer/start/vim-illuminate/plugin/illuminate.vim
067.101  000.061  000.061: sourcing /home/j0rdi/.local/share/nvim/site/pack/packer/start/vim-rhubarb/plugin/rhubarb.vim
067.403  000.236  000.236: sourcing /home/j0rdi/.local/share/nvim/site/pack/packer/start/vim-sleuth/plugin/sleuth.vim
067.483  000.008  000.008: sourcing /home/j0rdi/.local/share/nvim/site/pack/packer/start/which-key.nvim/plugin/which-key.vim
067.553  000.012  000.012: sourcing /home/j0rdi/.local/share/nvim/site/pack/packer/start/zen-mode.nvim/plugin/zen-mode.vim
067.647  002.018: loading packages
068.704  000.117  000.117: require('cmp.utils.char')
068.710  000.256  000.139: require('cmp.utils.str')
068.782  000.071  000.071: require('cmp.utils.pattern')
069.130  000.069  000.069: require('cmp.utils.buffer')
069.135  000.257  000.188: require('cmp.utils.keymap')
069.138  000.354  000.097: require('cmp.utils.feedkeys')
